Entry Name,Photo1
Курская коренная Богородица 13 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_uXHTPY5iVLoxim7ij1nCsBFuRhCryFaUoJ1RgsF-Iw6eI-YObRSVLw==
Лука Крымский 10 1/4 х 11 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_u_yTcveupm10TLK25-2tAUbCiuocBCdXEcE7mo5fUH1dByAfU6Fh2w==
Лука Крымский 13 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_N2wfopfymsGcCxmNNq3JkOwQntBGZjI7cadhbJQYWFSA01l_u481kg==
Макарий Великий 6 7/8 х 8 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_1nQQJCbwiwrkI4J5wOjWXmcNxElbXzJu0LkRFG_bN0Ze5DumZSGymw==
Мария Египетская 11 3/8 х 14 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_UnuWFJqeXg41_cVVda2PQM7_u13VvRg9YayiasELDbk1eTmJ97zJSQ==
Матрона 7 1/4 х 8 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_NbFUCDBvgAmQOfJDj94I96TLPNJrv_8wXQH-IBbTqxx5IlitKI0KQA==
Не Рыдай Мене Мати 10 х 15 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_YXySlwk62wJghj8lip7wDrF4LFntF66NgABsJYspWGuQgL9NH7lvDw==
Нерушимая стена 13 х 15 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_pte2QUPdCXDag_mh82r7FgD5Esfj2C_0cXRY5VWFpfm48q8tzuUdDQ==
Нечайная Радость 9 х 12,https://lnk.sortly.co/v2/downloads/photo/v2_11dcD3OI-1TId5FT7PoD-2fHDSnn3F6gH4l_wEicC8RZpTo6dSzhBA==
Николай чудотворец 7 5/8 х 8 7/8,https://lnk.sortly.co/v2/downloads/photo/v2__mckOsQKokRf-8rxY0sFlQp3sDfuCZs6xeb0okEWTqmkINMgqqGTQA==
Новомученики 11 1/4 х 14 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_oBhinQ_ahVdMGw0bqD6okygwKwItQXOeOkePyaFjYtg7frcX91Ku6A==
Параскева 12 х 16,https://lnk.sortly.co/v2/downloads/photo/v2_y1YoB9HLHZYpKsX93jA6t-4itqFzoHE5OvK5XOeIsI-9uHjt2FVRhQ==
Покров 10 1/4 х 12 3/8,https://lnk.sortly.co/v2/downloads/photo/v2_4cPW4nO0CZdgVkFtgzlodk3oIE81G-_kQlRPRC6cLZmwCczQPmfXjw==
Преображение 12 5/8 х 15 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_m5QDXYykh_BycMAOIM7k-5F5dqi-H0xE8K-rZS9tSLcKYgolBaunMA==
