"Entry Name,Entry Type,Photo1"
"Казанская Богородица 15 3/4 х 18 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_2VqMFiKukptaacN7DIprmV-Pr_xmMqNJ_ET7EAw1OusgC1qzhJgOZg=="
"Киприан и Иустиния 9 х 10 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_X8zDZV78V_lfBDSnEoZH-i52Rlg1FfKgcZ0sJK8U7LOx5K2sk2-bsQ=="
"Космас 8 1/4 х 11 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_w9XM7_2NE62pTrPo9GHcgHNAIC6_NnaGO3ljC43oEMFR-P9AeHEZHg=="
"Крестовоздвижения 12 3/8 х 15,Item,https://lnk.sortly.co/v2/downloads/photo/v2_RCATGbEl1yxJPVVUi7rNrRskl-2geTx-dcS0DHG8zy-AmaRZLS_iqg=="
"Крещение 12 3/4 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_ZNKQO_pPsSM1J_6rMJARzKq-WHv3Sk-oa7zwcg6TTuEAkscFr5XrMQ=="
"Крещение 8 1/8 х 10 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_vYRLBLduwIdGig_66DCKeoaIyuEG2ciD0FYXcuCLcI0h7HuxID-tPA=="
"Крещение России 10 1/4 х 13 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_1fCkIgRctmKQOWtfD25X8k_U9r1-qanwj8wVoH4ucnZ4eE5831s4LQ=="
"Ксения Петербургская 3 1/4 х 5,Item,https://lnk.sortly.co/v2/downloads/photo/v2_AochQb4MTNfAKfA7JIJILpdavchTfr89bLS4D259d9b6pXCrnhneIQ=="
"Курская коренная Богородица 13 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_n0hHHmV87ny8jToyBXT9hzW2VdbmqEDVk9ICSqfISdKRrVSjGUA7Yw=="
"Лука Крымский 10 1/4 х 11 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Hqjwekt_HHXFNhqbZegm_p1miGBd--qzXeszA5V9Nin8wCy3eDVM9w=="
"Лука Крымский 13 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_IbU4b6czCh0EHlkUuln9lwX1d3mJioiNWIWIh_Nmku-6uAJ3rvrDBQ=="
"Макарий Великий 6 7/8 х 8 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_uOUW7YzMSunj4dxYSL4RTor4ICMMOun_obKlE8PSBuYQLlF3Tl48CA=="
"Мария Египетская 11 3/8 х 14 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_cxrmxd13JKtH6RDbPvkbic0lINOtXPUPRcSlgdMSooFiVMRDElpBwQ=="
"Матрона 7 1/4 х 8 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_lw0gv_uLGJykdKW_cm6QqExXzGZWsbLY-kMFdgHQ4cOh65imz0zBSw=="
"Не Рыдай Мене Мати 10 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_W6suimClnwQVQvENc-ujzmVVZBOiRYCuKvDJMzGPrpTG_XwiirIh6w=="
"Нерушимая стена 13 х 15 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_c_OwaOlVkKJpPSTaysL8jWRm_CXs0myzrhNSpstdHkmg5_xouXxSNw=="
"Нечайная Радость 9 х 12,Item,https://lnk.sortly.co/v2/downloads/photo/v2_UZ8zXepdd7sCobi7yfDho0gIqgQYj581rl24ff7JqJNtnIOVc8YgZA=="
"Николай чудотворец 7 5/8 х 8 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_darFVh54OfmT2p1mqNQGtZN20sQf8yZTVX4zWnDvHWWw1sse52RQpQ=="
"Новомученики 11 1/4 х 14 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_-CxLX3Z9eSzNzIom53n83EraegUH5opBBXs2MIbPfthyCRIGFjsCiw=="
"Параскева 12 х 16,Item,https://lnk.sortly.co/v2/downloads/photo/v2_uB7T8ew8Uy2RwWwT3AnMfXFdTQgqGiho9ffuz9nfaF-6NIJFy9VkaA=="
"Покров 10 1/4 х 12 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2__XNJkHmpnGIwWZyFTGQVqIu-XADp4jjgrYKH8U54nETj1jHxjlkSYw=="
"Преображение 12 5/8 х 15 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_RSmQACDGqxJePXyYVPRNs0CcWlSCqnWdNZ0uSwTpdLe7q5MmLBWGTQ=="
"Пророки Илияи Елисей 8 5/8 х 10 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_htoquctWMwPt26xNDIH53-0n-n3oPzXT3fHNE7yzS4KvSAJN_p88zw=="
"Пётр и Феврония 9 3/8 х 13,Item,https://lnk.sortly.co/v2/downloads/photo/v2_qeGuvebZbyu8cV6XbVBXzJ2uOiOKUHutW9iBqnkH6GWOPQViR0scyQ=="
"Рождество + Крещение 8 1/4 х 9 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Wm6IY9BFLAFERiKLyX4IsBhHFn91e7y5yW-mXzIpid14BZ2ihFJi6w=="
"Рождество 12 5/8 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_zUMW5ttV6XTIFCOlhmM1TPyeZMtZGsrCKtzvhSlBBEpr0HbJdIKQZQ=="
